epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1246.71,1.26932,1.23082,1.69411,0.88766,0.65672,0.78571,0.47721,1.55827,1.57214,2.03008,0.000240841,0.000240841,0.000240841
105,1259.25,1.26374,1.20348,1.66113,0.82129,0.69702,0.7958,0.47152,1.49775,1.46479,2.02537,0.000236959,0.000236959,0.000236959
106,1271.04,1.2857,1.22096,1.6941,0.94084,0.63119,0.79451,0.45769,1.54019,1.47264,2.05152,0.000233081,0.000233081,0.000233081
107,1282.85,1.30858,1.21135,1.69482,0.76831,0.7175,0.76893,0.45286,1.49,1.37324,2.04805,0.000229208,0.000229208,0.000229208
108,1294.82,1.2578,1.18855,1.66122,0.7897,0.62084,0.75865,0.44509,1.49744,1.57504,2.05217,0.000225341,0.000225341,0.000225341
109,1306.93,1.21317,1.13636,1.60864,0.78036,0.66159,0.75632,0.44699,1.57457,1.77287,2.04781,0.00022148,0.00022148,0.00022148
110,1318.75,1.26203,1.14564,1.65228,0.80508,0.66675,0.78381,0.46944,1.53767,1.71189,2.00982,0.000217627,0.000217627,0.000217627
111,1330.53,1.22769,1.09723,1.62707,0.74494,0.70305,0.75343,0.44971,1.57524,1.52759,2.0938,0.000213782,0.000213782,0.000213782
112,1342.38,1.22988,1.12401,1.6194,0.79433,0.68204,0.77445,0.45228,1.47441,1.47893,2.01924,0.000209948,0.000209948,0.000209948
113,1354.28,1.21288,1.14847,1.6157,0.8701,0.65517,0.7766,0.47919,1.45271,1.42288,1.97491,0.000206123,0.000206123,0.000206123
114,1366.96,1.21405,1.10178,1.65283,0.81623,0.6623,0.78508,0.47151,1.46059,1.64715,2.01129,0.00020231,0.00020231,0.00020231
115,1378.72,1.19877,1.1166,1.59534,0.86825,0.7253,0.82092,0.50811,1.43963,1.50726,1.96896,0.00019851,0.00019851,0.00019851
116,1391.19,1.20663,1.11627,1.6224,0.8609,0.64741,0.80518,0.48526,1.45818,1.38707,1.98563,0.000194722,0.000194722,0.000194722
117,1403.03,1.21512,1.09149,1.62232,0.76268,0.73848,0.81098,0.49752,1.42573,1.25293,1.98396,0.000190949,0.000190949,0.000190949
118,1415.13,1.20955,1.12966,1.62489,0.8176,0.749,0.81683,0.49661,1.37879,1.24963,1.95436,0.000187191,0.000187191,0.000187191
119,1426.91,1.1756,1.04717,1.58355,0.89457,0.67777,0.81831,0.4929,1.54085,1.27928,2.10227,0.00018345,0.00018345,0.00018345
120,1438.68,1.20646,1.14929,1.60861,0.76197,0.70202,0.80794,0.47203,1.58252,1.55059,2.11397,0.000179725,0.000179725,0.000179725
121,1450.5,1.21918,1.08567,1.62193,0.85938,0.70204,0.79991,0.47911,1.48694,1.45291,1.99737,0.000176018,0.000176018,0.000176018
122,1462.24,1.19888,1.06964,1.60773,0.84319,0.70376,0.80125,0.45826,1.55484,1.42008,2.06617,0.00017233,0.00017233,0.00017233
123,1473.92,1.17671,1.04327,1.59077,0.88538,0.64352,0.80081,0.48447,1.44595,1.50712,1.97065,0.000168662,0.000168662,0.000168662
124,1485.58,1.12886,1.04316,1.54573,0.70829,0.78192,0.80578,0.48059,1.47463,1.35267,1.98364,0.000165015,0.000165015,0.000165015
125,1497.28,1.16649,1.05618,1.58372,0.82383,0.72788,0.81992,0.50819,1.4545,1.40053,1.97444,0.000161389,0.000161389,0.000161389
126,1509.57,1.18631,1.05794,1.57769,0.74684,0.76258,0.80071,0.50955,1.43458,1.70778,1.99525,0.000157786,0.000157786,0.000157786
127,1522.22,1.15705,1.05757,1.58503,0.76315,0.69235,0.78897,0.48333,1.49677,1.51481,2.01175,0.000154206,0.000154206,0.000154206
128,1534,1.14517,0.99063,1.59864,0.84786,0.64954,0.79918,0.48201,1.39939,1.39518,1.95359,0.00015065,0.00015065,0.00015065
129,1545.81,1.14444,1.05895,1.54827,0.79089,0.736,0.82438,0.50251,1.51827,1.50077,2.04762,0.00014712,0.00014712,0.00014712
130,1557.59,1.15907,1.04945,1.57945,0.77068,0.7438,0.82048,0.50086,1.48221,1.45335,2.03677,0.000143615,0.000143615,0.000143615
131,1569.37,1.13698,1.02467,1.53493,0.73493,0.73443,0.81779,0.51883,1.35371,1.25873,1.93251,0.000140137,0.000140137,0.000140137
132,1581.85,1.16957,1.02035,1.58258,0.86783,0.6623,0.8051,0.52772,1.3218,1.27156,1.93129,0.000136687,0.000136687,0.000136687
133,1594.33,1.13034,0.99718,1.55125,0.9065,0.64158,0.80321,0.50573,1.36603,1.19911,1.93932,0.000133266,0.000133266,0.000133266
134,1606.14,1.10803,1.00082,1.52282,0.92279,0.59996,0.77065,0.4931,1.43309,1.21739,1.96467,0.000129874,0.000129874,0.000129874
135,1618.22,1.12151,1.03991,1.53604,0.93135,0.63973,0.8003,0.50709,1.44141,1.23927,1.96276,0.000126512,0.000126512,0.000126512
136,1629.97,1.17356,0.98948,1.56558,0.94426,0.68498,0.81467,0.53561,1.41384,1.16848,1.93612,0.000123182,0.000123182,0.000123182
137,1642.48,1.13986,0.98265,1.57711,0.93785,0.6669,0.81825,0.53709,1.3937,1.27471,1.90912,0.000119883,0.000119883,0.000119883
138,1654.94,1.06482,0.96796,1.50946,0.89936,0.66343,0.81735,0.51268,1.4873,1.24078,1.98394,0.000116617,0.000116617,0.000116617
